"id"	"sex"	"beep"	"pa1"	"pa2"	"pa3"	"na1"	"na2"	"na3"	"na4"
86	"female"	29	2	5	3	3	1	5	1
86	"female"	30	1	5	1	4	1	6	1
86	"female"	33	1	3	1	4	1	6	1
86	"female"	34	1	6	2	5	2	3	1
86	"female"	35	1	6	2	5	1	4	1
86	"female"	37	1	6	2	4	2	4	1
86	"female"	38	1	5	1	5	2	4	1
86	"female"	39	3	7	3	3	1	4	1
87	"male"	1	4	7	2	4	3	2	2
87	"male"	2	5	7	3	2	3	1	2
87	"male"	3	7	7	4	2	2	1	2
87	"male"	4	2	6	1	4	5	3	3
87	"male"	5	4	6	3	3	3	3	2
87	"male"	6	3	6	1	4	5	2	2
87	"male"	7	5	7	3	3	5	3	3
87	"male"	8	4	7	2	2	3	1	1
87	"male"	9	3	6	2	3	4	5	3
87	"male"	10	4	7	3	4	4	3	3
87	"male"	12	3	7	3	3	3	1	2
87	"male"	15	4	7	2	4	4	3	3
87	"male"	16	3	7	2	5	5	3	4
87	"male"	17	5	7	4	2	2	1	1
87	"male"	18	4	7	3	4	2	2	2
87	"male"	20	5	7	3	2	5	3	3
87	"male"	21	3	6	1	5	3	4	3
87	"male"	22	6	7	4	3	3	3	1
87	"male"	23	5	7	3	2	3	2	1
87	"male"	24	3	6	3	4	4	2	1
87	"male"	25	4	7	2	4	4	2	3
87	"male"	26	2	6	3	4	4	3	2
87	"male"	27	4	7	2	2	3	2	3
87	"male"	28	7	7	5	2	3	1	2
87	"male"	29	2	5	2	5	6	3	4
87	"male"	30	5	7	4	1	4	1	1
87	"male"	32	3	7	3	3	4	2	1
87	"male"	33	6	7	5	3	3	1	1
87	"male"	34	4	7	3	4	3	2	2
87	"male"	37	5	7	3	4	2	2	1
87	"male"	38	4	7	3	4	4	4	2
87	"male"	39	1	5	1	6	6	4	4
87	"male"	40	5	7	2	2	2	2	1
88	"female"	2	5	5	4	2	1	3	1
88	"female"	3	4	6	3	2	1	2	1
88	"female"	4	4	5	4	3	1	4	1
88	"female"	5	3	4	3	4	1	5	1
88	"female"	6	4	5	4	3	1	2	2
88	"female"	7	3	4	3	4	1	4	1
88	"female"	8	4	6	4	3	1	2	1
88	"female"	9	3	5	3	4	1	1	1
88	"female"	11	2	4	2	4	1	3	1
88	"female"	15	4	6	3	4	1	3	1
88	"female"	16	4	5	4	4	1	2	1
88	"female"	17	5	6	5	2	1	3	1
88	"female"	18	4	3	1	6	1	5	2
88	"female"	23	4	4	4	2	1	2	1
88	"female"	24	3	5	3	4	1	2	1
88	"female"	25	4	4	3	5	1	4	1
88	"female"	26	3	5	3	3	1	2	1
88	"female"	29	5	5	5	2	1	1	1
88	"female"	30	5	5	3	3	1	3	1
88	"female"	31	5	5	5	3	1	2	1
88	"female"	32	4	6	4	4	1	3	1
88	"female"	33	4	6	3	4	1	3	2
88	"female"	34	4	5	3	3	1	1	1
88	"female"	35	3	4	3	3	1	2	1
88	"female"	36	3	3	2	5	1	5	1
88	"female"	37	3	4	4	3	1	4	1
88	"female"	38	4	6	4	2	1	2	1
88	"female"	40	6	6	4	3	1	3	1
89	"female"	1	3	5	1	2	1	1	1
89	"female"	2	6	4	1	1	1	2	1
89	"female"	3	5	6	3	2	1	1	1
89	"female"	4	5	6	2	1	1	1	2
89	"female"	5	5	5	3	2	1	1	1
89	"female"	6	5	6	3	1	1	1	1
89	"female"	7	6	7	3	1	1	1	1
89	"female"	8	4	5	1	1	1	1	2
89	"female"	9	6	5	3	1	1	1	1
89	"female"	12	5	5	1	1	1	1	1
89	"female"	13	5	5	2	3	1	2	1
89	"female"	15	5	6	3	1	1	1	1
89	"female"	16	7	6	4	1	1	1	1
89	"female"	17	6	7	3	1	1	1	1
89	"female"	19	7	6	4	1	1	1	1
89	"female"	21	5	7	3	1	1	1	1
89	"female"	23	5	7	4	1	1	1	1
89	"female"	24	6	5	2	1	1	1	1
89	"female"	25	6	6	2	2	1	1	1
89	"female"	26	5	6	3	1	1	1	1
89	"female"	28	4	3	1	2	1	1	2
89	"female"	29	5	6	4	2	1	2	1
89	"female"	31	6	6	3	1	1	1	1
89	"female"	34	7	7	5	1	1	1	1
89	"female"	35	6	6	3	1	1	1	1
89	"female"	36	5	6	2	1	1	1	1
89	"female"	37	6	7	4	2	1	1	2
89	"female"	38	6	6	3	1	1	1	1
89	"female"	39	4	4	2	1	1	1	1
89	"female"	40	4	4	1	1	1	1	2
90	"female"	1	1	3	1	4	7	6	1
90	"female"	2	1	6	1	3	6	3	1
90	"female"	3	1	5	1	3	4	5	2
90	"female"	4	1	5	1	5	7	7	1
90	"female"	6	1	4	1	5	7	6	1
90	"female"	9	1	5	1	6	5	6	3
90	"female"	10	1	6	1	5	5	5	2
90	"female"	11	1	4	1	5	7	7	1
90	"female"	12	1	5	1	6	6	7	2
90	"female"	13	1	4	1	5	7	7	2
90	"female"	14	1	5	1	4	7	5	1
90	"female"	15	1	4	1	5	7	5	1
90	"female"	16	2	5	1	4	5	7	1
90	"female"	17	1	5	1	4	6	6	2
90	"female"	18	1	4	1	5	7	5	1
90	"female"	19	1	5	1	5	6	6	1
90	"female"	20	1	3	1	4	6	6	1
90	"female"	22	1	5	1	6	7	6	2
90	"female"	24	1	5	1	5	7	6	1
90	"female"	25	1	5	1	5	7	7	1
90	"female"	26	2	6	1	3	5	5	1
90	"female"	27	1	3	1	6	6	6	1
90	"female"	28	1	3	1	4	7	6	2
90	"female"	29	2	5	1	2	4	4	1
90	"female"	30	1	5	1	4	5	5	1
90	"female"	31	1	6	1	2	6	4	1
90	"female"	32	1	5	1	4	7	6	1
90	"female"	33	1	6	2	5	7	6	1
90	"female"	35	1	4	1	5	6	6	1
90	"female"	36	1	4	1	5	7	7	1
90	"female"	37	2	5	1	4	6	6	1
90	"female"	38	1	3	1	5	6	5	1
90	"female"	39	1	5	1	4	6	5	1
90	"female"	40	1	4	1	5	6	7	1
91	"female"	2	1	1	1	6	2	7	4
91	"female"	4	2	3	4	5	1	4	1
91	"female"	5	1	1	1	5	1	5	2
91	"female"	6	3	1	2	3	2	5	2
91	"female"	7	2	2	1	5	1	5	2
91	"female"	8	2	2	3	4	1	5	1
91	"female"	9	3	3	3	4	1	3	1
91	"female"	10	3	1	3	4	1	4	1
91	"female"	11	3	2	3	5	1	5	2
91	"female"	12	3	1	4	4	1	5	3
91	"female"	16	3	3	3	4	1	3	1
91	"female"	17	2	2	3	5	1	5	2
91	"female"	18	2	2	3	4	1	6	2
91	"female"	19	2	1	1	4	2	5	1
91	"female"	20	3	4	2	4	1	5	2
91	"female"	22	2	1	3	7	1	6	5
91	"female"	23	2	3	3	4	1	4	2
91	"female"	24	3	2	2	5	1	4	1
91	"female"	25	2	1	3	4	1	3	2
91	"female"	26	3	3	2	5	2	4	1
91	"female"	27	3	2	3	2	1	4	1
91	"female"	29	3	2	2	3	1	4	1
91	"female"	30	2	1	2	6	1	6	1
91	"female"	31	4	2	3	4	1	4	2
91	"female"	32	2	1	2	3	1	4	2
91	"female"	33	2	1	2	5	1	4	2
91	"female"	34	4	3	4	3	1	3	1
91	"female"	35	3	3	4	4	1	3	1
91	"female"	36	3	2	2	5	1	6	1
91	"female"	37	4	2	4	3	1	4	1
91	"female"	39	1	1	1	4	1	5	1
91	"female"	40	3	3	3	5	1	3	1
92	"female"	2	6	3	4	5	2	3	2
92	"female"	4	5	2	4	6	1	4	3
92	"female"	5	7	3	6	5	2	2	2
92	"female"	6	6	3	4	5	1	1	1
92	"female"	7	4	1	2	7	4	4	4
92	"female"	8	7	3	5	5	1	1	2
92	"female"	9	6	2	3	6	2	3	4
92	"female"	10	7	3	5	5	2	3	4
92	"female"	11	7	2	4	5	1	1	2
92	"female"	12	7	2	5	6	2	2	3
92	"female"	13	6	1	4	7	1	1	1
92	"female"	14	7	3	4	4	1	1	2
92	"female"	15	5	2	5	5	1	2	1
92	"female"	18	6	3	5	6	3	2	2
92	"female"	19	6	3	5	3	2	1	2
92	"female"	21	6	2	4	6	3	2	3
92	"female"	22	6	2	5	6	1	2	4
92	"female"	23	5	2	4	7	2	2	2
92	"female"	24	5	1	4	6	2	3	2
92	"female"	25	5	2	2	6	2	3	4
92	"female"	26	6	2	4	5	1	1	2
92	"female"	27	7	4	4	5	1	1	2
92	"female"	28	5	2	2	6	2	2	2
92	"female"	29	6	3	3	5	2	2	3
92	"female"	31	5	1	3	6	1	3	2
92	"female"	32	6	2	3	5	2	2	3
92	"female"	34	4	1	3	6	2	1	3
92	"female"	35	6	2	4	4	1	1	1
92	"female"	36	6	3	3	4	1	2	2
92	"female"	37	6	3	4	5	1	1	3
92	"female"	38	7	3	5	5	1	3	3
92	"female"	40	6	3	3	5	1	2	2
93	"female"	1	2	7	4	1	1	1	1
93	"female"	3	1	5	2	1	1	1	1
93	"female"	4	3	7	5	1	1	1	1
93	"female"	5	2	7	4	1	1	2	1
93	"female"	6	1	5	3	1	1	1	1
93	"female"	8	3	6	4	1	1	1	1
93	"female"	9	3	5	4	1	1	1	1
93	"female"	10	3	5	3	1	1	2	1
93	"female"	11	1	5	3	1	1	1	1
93	"female"	12	3	6	3	1	1	1	1
93	"female"	13	2	6	3	1	1	2	1
93	"female"	14	1	4	2	1	1	1	1
93	"female"	15	3	6	3	1	1	1	1
93	"female"	17	1	5	3	1	1	1	1
93	"female"	18	4	7	5	1	1	1	1
93	"female"	19	2	6	3	1	1	1	1
93	"female"	20	2	6	2	1	1	1	1
93	"female"	22	2	6	4	1	1	1	1
93	"female"	23	2	5	4	1	1	2	1
93	"female"	24	1	5	4	1	1	1	1
93	"female"	25	3	5	4	1	1	1	1
93	"female"	26	1	5	3	1	1	2	1
93	"female"	27	3	5	3	1	1	1	1
93	"female"	28	1	4	3	1	1	1	1
93	"female"	29	2	5	4	1	1	1	1
93	"female"	30	2	4	4	1	1	2	1
93	"female"	31	1	5	3	1	2	1	1
93	"female"	34	1	6	3	1	1	1	1
93	"female"	35	2	5	3	1	1	1	1
93	"female"	36	2	6	3	1	1	1	1
93	"female"	37	1	5	3	2	2	3	1
93	"female"	38	2	6	3	1	1	1	1
93	"female"	40	1	3	3	1	2	3	1
94	"male"	1	7	7	4	3	3	3	4
94	"male"	3	7	7	4	4	2	2	4
94	"male"	4	6	7	6	4	2	2	5
94	"male"	5	5	7	4	3	2	2	4
94	"male"	7	6	7	5	4	2	1	3
94	"male"	9	7	7	4	4	1	3	6
94	"male"	10	4	7	4	3	2	3	5
94	"male"	11	6	7	5	4	3	3	3
94	"male"	14	6	7	5	4	3	4	6
94	"male"	15	5	6	4	5	3	5	4
94	"male"	16	7	7	5	2	2	1	5
94	"male"	17	5	7	2	4	4	2	6
94	"male"	18	6	7	5	3	1	1	3
94	"male"	19	7	7	5	4	3	3	6
94	"male"	20	5	7	4	3	2	1	5
94	"male"	22	5	7	4	3	3	2	5
94	"male"	23	5	7	3	4	3	2	4
94	"male"	24	7	7	6	1	1	1	4
94	"male"	25	6	7	6	1	3	2	3
94	"male"	26	6	7	4	4	4	3	4
94	"male"	27	4	7	3	6	4	4	6
94	"male"	29	6	7	4	5	2	1	4
94	"male"	30	7	7	5	3	2	2	4
94	"male"	33	6	7	4	3	2	4	4
94	"male"	34	6	7	5	3	1	1	4
94	"male"	35	7	7	6	3	1	1	4
94	"male"	36	7	7	6	4	1	2	4
94	"male"	37	7	7	5	3	4	3	4
94	"male"	38	3	6	2	4	2	3	4
94	"male"	40	7	7	6	2	3	2	4
95	"male"	1	7	6	6	1	1	1	1
95	"male"	3	7	7	7	1	1	1	1
95	"male"	4	7	5	5	1	1	1	1
95	"male"	5	5	6	5	1	1	1	1
95	"male"	7	7	7	7	1	1	1	1
95	"male"	8	7	7	7	1	1	1	1
95	"male"	9	7	7	7	1	1	1	1
95	"male"	10	7	5	6	1	1	1	1
95	"male"	12	6	5	7	1	1	1	1
95	"male"	13	7	7	7	1	1	1	1
95	"male"	14	7	7	7	1	1	1	1
95	"male"	15	7	5	6	1	1	1	1
95	"male"	16	7	5	6	1	1	2	1
95	"male"	17	6	5	6	1	1	1	1
95	"male"	19	7	6	7	1	1	1	1
95	"male"	20	6	6	7	1	1	1	1
95	"male"	23	7	7	7	1	1	1	1
95	"male"	24	7	7	7	1	1	1	1
95	"male"	25	7	7	6	1	1	1	1
95	"male"	26	7	5	7	1	1	1	1
95	"male"	27	6	5	5	1	1	2	2
95	"male"	28	6	5	6	2	1	2	1
95	"male"	29	7	6	7	1	1	1	1
95	"male"	31	6	6	6	1	1	1	1
95	"male"	32	7	5	7	2	1	1	1
95	"male"	34	6	5	4	1	1	3	1
95	"male"	35	7	5	7	1	1	1	1
95	"male"	36	7	7	7	1	1	1	1
95	"male"	37	6	5	5	1	1	1	1
95	"male"	38	6	6	7	1	1	2	1
95	"male"	39	6	5	6	1	1	2	1
95	"male"	40	7	6	6	1	1	1	1
96	"female"	2	2	6	1	4	5	5	2
96	"female"	3	4	7	2	3	6	4	2
96	"female"	4	3	6	1	3	4	3	1
96	"female"	5	4	7	1	2	3	2	1
96	"female"	7	4	7	1	5	5	5	2
96	"female"	8	3	5	2	3	5	5	1
96	"female"	9	4	7	2	2	3	6	1
96	"female"	10	2	5	1	5	5	6	1
96	"female"	12	3	6	1	4	5	4	1
96	"female"	13	5	7	1	1	3	2	1
96	"female"	15	2	5	1	4	3	5	1
96	"female"	16	3	7	2	4	5	4	1
96	"female"	17	4	7	2	2	4	5	1
96	"female"	18	5	7	1	3	4	4	3
96	"female"	20	3	6	2	2	5	5	1
96	"female"	21	3	6	1	3	4	5	1
96	"female"	22	3	7	1	3	3	5	1
96	"female"	23	3	7	1	3	4	4	1
96	"female"	24	3	6	1	2	4	5	1
96	"female"	25	4	7	2	2	6	5	1
96	"female"	26	3	7	1	3	4	4	1
96	"female"	27	3	6	1	4	6	4	1
96	"female"	28	3	6	1	3	4	5	1
96	"female"	29	5	7	2	3	3	4	1
96	"female"	30	4	6	1	2	4	4	1
96	"female"	31	3	7	1	2	2	3	1
96	"female"	32	3	6	2	3	6	6	1
96	"female"	33	5	7	2	3	4	5	1
96	"female"	34	3	5	1	2	4	4	1
96	"female"	35	4	7	3	3	2	3	1
96	"female"	36	3	6	1	2	3	4	1
96	"female"	37	4	7	1	3	2	4	1
96	"female"	38	6	7	3	2	4	3	1
96	"female"	39	4	7	2	1	3	2	1
96	"female"	40	4	7	1	2	2	3	1
97	"female"	1	5	7	3	5	5	3	3
97	"female"	3	7	7	2	5	6	4	2
97	"female"	5	6	7	3	6	6	4	2
97	"female"	6	5	7	3	5	5	3	1
97	"female"	7	6	7	3	5	5	4	1
97	"female"	8	5	7	3	5	6	4	2
97	"female"	10	5	7	3	4	4	4	1
97	"female"	11	7	7	5	5	5	4	1
97	"female"	12	6	7	3	6	5	5	1
97	"female"	13	5	7	3	6	7	4	2
